original_name	detection_name	coarse_name	training_eligible	mapping_confidence	merge_basis	aliases
nudibranch	nudibranch	nudibranch	yes	high	existing visually distinct group retained	brightly colored chromodoris nudibranch;colorful blue dragon nudibranch;colorful blue-speckled nudibranch;colorful Chromodoris nudibranch;colorful Hypselodoris infucata nudibranch;colorful nudibranch;colorful purple-spotted nudibranch;golden-brown nudibranch;Halgerda batangas nudibranch camouflaged;Hypselodoris nudibranch nudibranch;Jorunna funebris nudibranch;Pikachu nudibranch;strikingly dark nudibranch;Tambja morosa nudibranch;turtle-looking nudibranch;vibrant Nembrotha kubaryana nudibranch;vibrant purple and white nudibranch;vibrant Spanish dancer nudibranch undulates gracefully;vibrant Thecacera pacifica nudibranch;vibrant yellow Thecacera pacifica nudibranch;vibrantly colored nudibranch;vividly colored Blue Dragon nudibranch;vividly colored Chromodoris africana nudibranch
tritonia tetraquetra	nudibranch	nudibranch	yes	high	existing visually distinct group retained	Tritonia tetraquetra
big blue octopus	octopus	octopus	yes	high	existing visually distinct group retained	Big Blue Octopus
blue ringed octopus	octopus	octopus	yes	high	existing visually distinct group retained	blue-ringed octopus;Blue-ringed Octopus;Blue-ringedOctopus
caribbean reef octopus	octopus	octopus	yes	high	existing visually distinct group retained	well-camouflaged Caribbean reef octopus
clever octopus	octopus	octopus	yes	high	existing visually distinct group retained	CleverOctopus
coconut octopus	octopus	octopus	yes	high	existing visually distinct group retained	coconut octopus;coconut octopus blending into the sandy;coconut octopus sheltering;coconut octopus sits partially sheltered;CoconutOctopus
coconut octopus using	octopus	octopus	yes	high	existing visually distinct group retained	coconut octopus using
coconut octopus using seashells as shelter	octopus	octopus	yes	high	existing visually distinct group retained	coconut octopus using seashells as shelter
common octopus	octopus	octopus	yes	high	existing visually distinct group retained	common octopus;Common octopus;Common Octopus;common octopus blending into the rocky;Common Octopus camouflaged against a rocky;common octopus displaying pale coloration and;common octopus explores the sandy seafloor;common octopus gracefully propels itself;CommonOctopus;well-camouflaged Common octopus
common octopus camouflages	octopus	octopus	yes	high	existing visually distinct group retained	common octopus camouflages against a rocky
common octopus clings to a rocky	octopus	octopus	yes	high	existing visually distinct group retained	common octopus clings to a rocky
common octopus expertly	octopus	octopus	yes	high	existing visually distinct group retained	common octopus expertly camouflaged
common octopusnestled	octopus	octopus	yes	high	existing visually distinct group retained	common octopusnestled
dumbo octopus	octopus	octopus	yes	high	existing visually distinct group retained	dumbo octopus;Dumbo Octopus;Dumbo octopus hovers;dumbo octopus hovers gracefully;DumboOctopus
enteroctopus dofleini	octopus	octopus	yes	high	existing visually distinct group retained	Enteroctopus dofleini
giant pacific octopus	octopus	octopus	yes	high	existing visually distinct group retained	Giant Pacific Octopus runs
graneledone boreopacifica	octopus	octopus	yes	high	existing visually distinct group retained	Graneledone boreopacifica
kleptopus	octopus	octopus	yes	high	existing visually distinct group retained	Kleptopus
mimetic octopus	octopus	octopus	yes	high	existing visually distinct group retained	mimetic octopus
mimic octopus	octopus	octopus	yes	high	existing visually distinct group retained	mimic octopus displaying;mimic octopus displays
muusoctopus robustus	octopus	octopus	yes	high	existing visually distinct group retained	Muusoctopus robustus
octopodidae	octopus	octopus	yes	high	existing visually distinct group retained	Octopodidae
octopus	octopus	octopus	yes	high	existing visually distinct group retained	octopus;Octopus
octopus californicus	octopus	octopus	yes	high	existing visually distinct group retained	Octopus californicus
octopus oculifer	octopus	octopus	yes	high	existing visually distinct group retained	octopus oculifer
octopus rubescens	octopus	octopus	yes	high	existing visually distinct group retained	Octopus rubescens
opisthoteuthis cf. californiana	octopus	octopus	yes	high	existing visually distinct group retained	Opisthoteuthis cf. californiana
ornate octopus	octopus	octopus	yes	high	existing visually distinct group retained	ornate octopus
pacific red octopus	octopus	octopus	yes	high	existing visually distinct group retained	Pacific red octopus
reef octopus	octopus	octopus	yes	high	existing visually distinct group retained	reef octopus blends into the rocky;well-camouflaged Reef octopus lies motionless
small reef octopus	octopus	octopus	yes	high	existing visually distinct group retained	small reef octopus displaying mottled brown
anoplogaster cornuta	other Anoplogastridae fish	fish	yes	medium	taxonomy family fallback: Anoplogastridae	Anoplogaster cornuta
anotopterus nikparini	other Anotopteridae fish	fish	yes	medium	taxonomy family fallback: Anotopteridae	Anotopterus nikparini
pseudobathylagus milleri	other Bathylagidae fish	fish	yes	medium	taxonomy family fallback: Bathylagidae	Pseudobathylagus milleri
bathysaurus mollis	other Bathysauridae fish	fish	yes	medium	taxonomy family fallback: Bathysauridae	Bathysaurus mollis
cataetyx	other Bythitidae fish	fish	yes	medium	taxonomy family fallback: Bythitidae	Cataetyx
cetostoma regani	other Cetomimidae fish	fish	yes	medium	taxonomy family fallback: Cetomimidae	Cetostoma regani
antimora microlepis	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Antimora microlepis
coelorinchus scaphopsis	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Coelorinchus scaphopsis
coryphaenoides	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Coryphaenoides
coryphaenoides acrolepis	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Coryphaenoides acrolepis
coryphaenoides armatus	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Coryphaenoides armatus
macrouridae	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Macrouridae
phycis phycis	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Phycis phycis
physiculus rastrelliger	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Physiculus rastrelliger
urophycis regia	other cod-like fish	fish	yes	medium	taxonomy order: Gadiformes	Urophycis regia
bathycongrus macrurus	other Congridae fish	fish	yes	medium	taxonomy family fallback: Congridae	Bathycongrus macrurus
lrj complex	other jellyfish	jellyfish	review	medium	specific jellyfish name without a supported major split	LRJ complex
pacific sea nettle	other jellyfish	jellyfish	review	medium	specific jellyfish name without a supported major split	Pacific sea nettle drifts gracefully
myctophidae	other Myctophidae fish	fish	yes	medium	taxonomy family fallback: Myctophidae	Myctophidae
asthenactis fisheri	other Myxasteridae fish	fish	yes	medium	taxonomy family fallback: Myxasteridae	Asthenactis fisheri
ballistic missile	other object	other object	yes	high	existing visually distinct group retained	BallisticMissile
black stone	other object	other object	yes	high	existing visually distinct group retained	black stone blending
coin	other object	other object	yes	high	existing visually distinct group retained	Coin
gun	other object	other object	yes	high	existing visually distinct group retained	Gun
heart shape	other object	other object	yes	high	existing visually distinct group retained	HeartShape
ocean floor sensor	other object	other object	yes	high	existing visually distinct group retained	OceanFloorSensor
ring	other object	other object	yes	high	existing visually distinct group retained	Ring
statue	other object	other object	yes	high	existing visually distinct group retained	Statue
stone	other object	other object	yes	high	existing visually distinct group retained	stone
macropinna microstoma	other Opisthoproctidae fish	fish	yes	medium	taxonomy family fallback: Opisthoproctidae	Macropinna microstoma
anthiadidae	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Anthiadidae
callionymidae	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Callionymidae
caulolatilus chrysops	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Caulolatilus chrysops
caulolatilus cyanops	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Caulolatilus cyanops
caulolatilus microps	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Caulolatilus microps
enoplosus armatus	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Enoplosus Armatus;EnoplosusArmatus
icichthys lockingtoni	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Icichthys lockingtoni
kali kerberti	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Kali kerberti
malacanthus plumieri	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Malacanthus plumieri
priacanthus arenatus	other perch-like fish	fish	yes	medium	taxonomy order: Perciformes	Priacanthus arenatus
scopelarchus	other Scopelarchidae fish	fish	yes	medium	taxonomy family fallback: Scopelarchidae	Scopelarchus
anoplopoma fimbria	other scorpaeniform fish	fish	yes	medium	taxonomy order: Scorpaeniformes	Anoplopoma fimbria
careproctus kamikawai	other scorpaeniform fish	fish	yes	medium	taxonomy order: Scorpaeniformes	Careproctus kamikawai
careproctus melanurus	other scorpaeniform fish	fish	yes	medium	taxonomy order: Scorpaeniformes	Careproctus melanurus
liparidae	other scorpaeniform fish	fish	yes	medium	taxonomy order: Scorpaeniformes	Liparidae
psychrolutes phrictus	other scorpaeniform fish	fish	yes	medium	taxonomy order: Scorpaeniformes	Psychrolutes phrictus
acanthascinae	other sponge	sponge	review	medium	specific sponge without a supported visual group	Acanthascinae
bolosominae	other sponge	sponge	review	medium	specific sponge without a supported visual group	Bolosominae
corbitellinae	other sponge	sponge	review	medium	specific sponge without a supported visual group	Corbitellinae
hyalonema (corynonema) populiferum	other sponge	sponge	review	medium	specific sponge without a supported visual group	Hyalonema (Corynonema) populiferum
hyalonema (oonema) bianchoratum	other sponge	sponge	review	medium	specific sponge without a supported visual group	Hyalonema (Oonema) bianchoratum
latrunculia (latrunculia) austini	other sponge	sponge	review	medium	specific sponge without a supported visual group	Latrunculia (Latrunculia) austini
mycale sp. 1	other sponge	sponge	review	medium	specific sponge without a supported visual group	Mycale sp. 1
mola	other tetraodontiform fish	fish	yes	medium	taxonomy order: Tetraodontiformes	Mola
mola mola	other tetraodontiform fish	fish	yes	medium	taxonomy order: Tetraodontiformes	Mola mola
desmodema lorum	other Trachipteridae fish	fish	yes	medium	taxonomy family fallback: Trachipteridae	Desmodema lorum
trachipterus altivelis	other Trachipteridae fish	fish	yes	medium	taxonomy family fallback: Trachipteridae	Trachipterus altivelis
otter	otter	otter	yes	high	existing visually distinct group retained	otter
young sea otter	otter	otter	yes	high	existing visually distinct group retained	young sea otter
blue parrotfish	parrotfish	fish	yes	high	visual-name rule	Blue Parrotfish;BlueParrotfish
japanese parrotfish	parrotfish	fish	yes	high	visual-name rule	Japanese parrotfish
large humphead parrotfish	parrotfish	fish	yes	high	visual-name rule	large humphead parrotfish
parrotfish	parrotfish	fish	yes	high	visual-name rule	parrotfish displaying
redlip parrotfish	parrotfish	fish	yes	high	visual-name rule	Redlip Parrotfish
scarus rubroviolaceus	parrotfish	fish	yes	high	visual-name rule	scarus rubroviolaceus
stoplight parrotfish	parrotfish	fish	yes	high	visual-name rule	Stoplight Parrotfish;StoplightParrotfish
african penguin	penguin	penguin	yes	high	existing visually distinct group retained	African penguin
penguin	penguin	penguin	yes	high	existing visually distinct group retained	penguin;Penguin
person	person (unspecified)	human	review	low	generic person label	person
person wearing	person (unspecified)	human	review	low	generic person label	person wearing
woman	person (unspecified)	human	review	low	generic person label	woman
ornate ghost pipefish	pipefish and sea dragon	fish	yes	high	visual-name rule	ornate ghost pipefish camouflaged
piaractus brachypomus	piranha and pacu	fish	yes	high	visual-name rule	piaractus brachypomus
red bellied piranha	piranha and pacu	fish	yes	high	visual-name rule	red-bellied piranha
aulosphaera	plankton	plankton	yes	high	existing visually distinct group retained	Aulosphaera
hastigerinella digitata	plankton	plankton	yes	high	existing visually distinct group retained	Hastigerinella digitata
radiozoa	plankton	plankton	yes	high	existing visually distinct group retained	Radiozoa
porcupinefish	porcupinefish	fish	yes	high	visual-name rule	porcupinefish;Porcupinefish;porcupinefish hovers;porcupinefish nestles under a rocky ledge
spiny porcupinefish	porcupinefish	fish	yes	high	visual-name rule	spiny porcupinefish shelters under a rocky
spot fin porcupinefish	porcupinefish	fish	yes	high	visual-name rule	Spot-fin Porcupinefish sitting
spotted porcupinefish	porcupinefish	fish	yes	high	visual-name rule	spotted porcupinefish
blackspotted puffer	pufferfish	fish	yes	high	visual-name rule	Blackspotted Puffer;BlackspottedPuffer
blackspotted pufferfish	pufferfish	fish	yes	high	visual-name rule	blackspotted pufferfish
dog faced puffer	pufferfish	fish	yes	high	visual-name rule	dog-faced puffer
narrow lined puffer	pufferfish	fish	yes	high	visual-name rule	narrow-lined puffer
narrow lined pufferfish	pufferfish	fish	yes	high	visual-name rule	Narrow-lined pufferfish;Narrow-lined Pufferfish
pufferfish	pufferfish	fish	yes	high	visual-name rule	pufferfish
spotted pufferfish	pufferfish	fish	yes	high	visual-name rule	spotted pufferfish
white spotted pufferfish	pufferfish	fish	yes	high	visual-name rule	white-spotted pufferfish
remora	remora	fish	yes	high	visual-name rule	remora
carcharhinus	requiem shark	shark	yes	high	requiem-shark taxonomy	Carcharhinus
carcharhinus falciformis	requiem shark	shark	yes	high	requiem-shark taxonomy	Carcharhinus falciformis
marbled rockfish	rockfish	fish	yes	high	visual-name rule	marbled rockfish
saddle brown rockfish	rockfish	fish	yes	high	visual-name rule	saddle brown rockfish
sebastes	rockfish	fish	yes	high	visual-name rule	Sebastes
sebastes aurora	rockfish	fish	yes	high	visual-name rule	Sebastes aurora
sebastes babcocki	rockfish	fish	yes	high	visual-name rule	Sebastes babcocki
sebastes chlorostictus	rockfish	fish	yes	high	visual-name rule	Sebastes chlorostictus
sebastes cortezi	rockfish	fish	yes	high	visual-name rule	Sebastes cortezi
sebastes diploproa	rockfish	fish	yes	high	visual-name rule	Sebastes diploproa
sebastes elongatus	rockfish	fish	yes	high	visual-name rule	Sebastes elongatus
sebastes jordani	rockfish	fish	yes	high	visual-name rule	Sebastes jordani
sebastes melanostomus	rockfish	fish	yes	high	visual-name rule	Sebastes melanostomus
sebastes saxicola	rockfish	fish	yes	high	visual-name rule	Sebastes saxicola
sebastidae	rockfish	fish	yes	high	taxonomy family: Sebastidae	Sebastidae
sebastolobus	rockfish	fish	yes	high	taxonomy family: Sebastidae	Sebastolobus
sebastolobus alascanus	rockfish	fish	yes	high	taxonomy family: Sebastidae	Sebastolobus alascanus
sebastolobus altivelis	rockfish	fish	yes	high	taxonomy family: Sebastidae	Sebastolobus altivelis
blueye remotely operated underwater vehicle	ROV	underwater vehicle	yes	high	remotely operated underwater vehicle	Blueye remotely operated underwater vehicle explores
remotely operated vehicle (rov)	ROV	underwater vehicle	yes	high	remotely operated underwater vehicle	Remotely Operated Vehicle (ROV)
research rov equipped	ROV	underwater vehicle	yes	high	remotely operated underwater vehicle	research ROV equipped
rov	ROV	underwater vehicle	yes	high	remotely operated underwater vehicle	ROV
small underwater remotely operated vehicle illuminates	ROV	underwater vehicle	yes	high	remotely operated underwater vehicle	small underwater remotely operated vehicle illuminates
small burmese trout	salmon and trout	fish	yes	high	visual-name rule	small Burmese Trout
pyrosoma	salp	salp	yes	high	existing visually distinct group retained	Pyrosoma
pyrosoma atlanticum	salp	salp	yes	high	existing visually distinct group retained	Pyrosoma atlanticum
salp	salp	salp	yes	high	existing visually distinct group retained	salp
salp chain	salp	salp	yes	high	existing visually distinct group retained	salp chain
salpa	salp	salp	yes	high	existing visually distinct group retained	Salpa
salpida	salp	salp	yes	high	existing visually distinct group retained	Salpida
salpidae	salp	salp	yes	high	existing visually distinct group retained	Salpidae
vitreosalpa gemini	salp	salp	yes	high	existing visually distinct group retained	Vitreosalpa gemini
sawfish	sawfish	ray	yes	high	distinct saw-like rostrum	sawfish;Sawfish
smalltooth sawfish	sawfish	ray	yes	high	distinct saw-like rostrum	smalltooth sawfish
acesta	scallop	scallop	yes	high	existing visually distinct group retained	Acesta
delectopecten	scallop	scallop	yes	high	existing visually distinct group retained	Delectopecten
pectinidae	scallop	scallop	yes	high	existing visually distinct group retained	Pectinidae
scallop	scallop	scallop	yes	high	existing visually distinct group retained	scallop;Scallop
bathypterois	scorpionfish	fish	yes	high	visual-name rule	Bathypterois
bathypterois pectinatus	scorpionfish	fish	yes	high	visual-name rule	Bathypterois pectinatus
devil scorpionfish	scorpionfish	fish	yes	high	visual-name rule	devil scorpionfish
dwarf lionfish	scorpionfish	fish	yes	high	visual-name rule	dwarf lionfish displaying
lionfish	scorpionfish	fish	yes	high	visual-name rule	lionfish;Lionfish;lionfish displaying;lionfish displays;lionfish hovers;Lionfish sitting
pontinus furcirhinus	scorpionfish	fish	yes	high	taxonomy family: Scorpaenidae	Pontinus furcirhinus
red lionfish	scorpionfish	fish	yes	high	visual-name rule	red lionfish;red lionfish displaying
red scorpionfish	scorpionfish	fish	yes	high	visual-name rule	well-camouflaged red scorpionfish
reef stonefish	scorpionfish	fish	yes	high	visual-name rule	well-camouflaged reef stonefish blends seamlessly
scorpaena scrofa	scorpionfish	fish	yes	high	visual-name rule	scorpaena scrofa
scorpaenidae	scorpionfish	fish	yes	high	taxonomy family: Scorpaenidae	Scorpaenidae
scorpionfish	scorpionfish	fish	yes	high	visual-name rule	scorpionfish;well-camouflaged scorpionfish
small dwarf lionfish	scorpionfish	fish	yes	high	visual-name rule	small dwarf lionfish displaying vibrant pectoral
stonefish	scorpionfish	fish	yes	high	visual-name rule	stonefish;well-camouflaged stonefish
striking lionfish	scorpionfish	fish	yes	high	visual-name rule	striking lionfish;striking lionfish displaying
striking red lionfish	scorpionfish	fish	yes	high	visual-name rule	striking red lionfish
vividly striped lionfish	scorpionfish	fish	yes	high	visual-name rule	vividly striped lionfish;vividly striped lionfish displaying
diver	scuba diver	human	yes	high	scuba-diver visual role	Diver;diving;female diver;human diver;Human diver;human diver explores an underwater environment;Human diver gracefully;human diver hovers;lone diver;scuba diver;scuba diver equipped;Scuba diver equipped;scuba diver explores a vibrant coral;scuba diver explores an underwater structure;scuba diver explores the cockpit of;scuba diver exploring a rocky underwater;scuba diver exploring a vibrant underwater;scuba diver exploring the ocean floor;scuba diver hovers;solitary diver smoothly;wetsuit-clad diver;wetsuit-clad diver explores a rocky;wetsuit-clad diver gracefully explores the underwater;wetsuit-clad diver wearing goggles;wetsuit-clad scuba diver
scuba diverexplores an artificial reef structure	scuba diver	human	yes	high	scuba-diver visual role	scuba diverexplores an artificial reef structure
scuba diving	scuba diver	human	yes	high	scuba-diver visual role	ScubaDiving
bathyphellia australis	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Bathyphellia australis
bolocera	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Bolocera
bolocera kensmithi	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Bolocera kensmithi
dofleinia	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Dofleinia
hormathiidae	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Hormathiidae
hormathiidae sp. 1	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Hormathiidae sp. 1
iosactis vagabunda	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Iosactis vagabunda
isosicyonis	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Isosicyonis
liponema	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Liponema
liponema brevicorne	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Liponema brevicorne
metridium farcimen	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Metridium farcimen
paraphelliactis pabista	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Paraphelliactis pabista
sea anemone	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Actinernus;actiniaria;Actiniaria;Actiniidae sp. 1;Actinoscyphia;Actinostolidae;Actinostoloidea;Sea Anemone;SeaAnemone
sicyonis	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Sicyonis
stomphia	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Stomphia
stomphia didemon	sea anemone	sea anemone	yes	high	existing visually distinct group retained	Stomphia didemon
abyssocucumis abyssorum	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Abyssocucumis abyssorum
apostichopus leukothele	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Apostichopus leukothele
benthothuria	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Benthothuria
elpidia	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Elpidia
elpidia sp. a	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Elpidia sp. A
elpidiidae	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Elpidiidae
hansenothuria	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Hansenothuria
holothurian	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	holothurian
holothuroidea	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Holothuroidea
holothuroidea sp. 3	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Holothuroidea sp. 3
laetmogonidae	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Laetmogonidae
oneirophanta mutabilis complex	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Oneirophanta mutabilis complex
paelopatides	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Paelopatides
paelopatides confundens	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Paelopatides confundens
pannychia	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Pannychia
pannychia moseleyi	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Pannychia moseleyi
pannychia sp. 1	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Pannychia sp. 1
peniagone	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone
peniagone gracilis	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone gracilis
peniagone papillata	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone papillata
peniagone sp. 1	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone sp. 1
peniagone sp. 2	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone sp. 2
peniagone sp. a	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone sp. A
peniagone vitrea	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone vitrea
peniagone vitrea sp. 1 complex	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Peniagone vitrea- sp. 1 complex
psolidae	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Psolidae
psolus squamatus	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Psolus squamatus
psychropotes sp. 1	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Psychropotes sp. 1
scotoplanes	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Scotoplanes
scotoplanes globosa	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Scotoplanes globosa
scotoplanes sp. a	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Scotoplanes sp. A
sea cucumber	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	sea cucumber;Sea Cucumber;SeaCucumber
synallactes	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Synallactes
synallactidae	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Synallactidae
synallactidae gen. et sp. indet	sea cucumber	sea cucumber	yes	high	existing visually distinct group retained	Synallactidae gen. et sp. indet.
australian sea lion	sea lion	sea lion	yes	high	existing visually distinct group retained	Australian sea lion sits upright
california sea lion	sea lion	sea lion	yes	high	existing visually distinct group retained	California sea lion;California sea lion gracefully
california sea lions	sea lion	sea lion	yes	high	existing visually distinct group retained	California sea lions partially emerges from
playful california sea lion	sea lion	sea lion	yes	high	existing visually distinct group retained	playful California sea lion
sea lion	sea lion	sea lion	yes	high	existing visually distinct group retained	sea lion;Sea Lion;SeaLion
zalophus californianus	sea lion	sea lion	yes	high	existing visually distinct group retained	Zalophus californianus
acanthoptilum	sea pen	sea pen	yes	high	existing visually distinct group retained	Acanthoptilum
funiculina	sea pen	sea pen	yes	high	existing visually distinct group retained	Funiculina
funiculina balticina complex	sea pen	sea pen	yes	high	existing visually distinct group retained	Funiculina-Balticina complex
funiculina halipteris complex	sea pen	sea pen	yes	high	existing visually distinct group retained	Funiculina-Halipteris complex
kophobelemnon sp. 1	sea pen	sea pen	yes	high	existing visually distinct group retained	Kophobelemnon sp. 1
pennatula	sea pen	sea pen	yes	high	existing visually distinct group retained	Pennatula
pennatula phosphorea	sea pen	sea pen	yes	high	existing visually distinct group retained	Pennatula phosphorea
pennatulacea	sea pen	sea pen	yes	high	existing visually distinct group retained	Pennatulacea
pennatuloidea	sea pen	sea pen	yes	high	existing visually distinct group retained	Pennatuloidea
sea pen	sea pen	sea pen	yes	high	existing visually distinct group retained	sea pen
umbellula	sea pen	sea pen	yes	high	existing visually distinct group retained	Umbellula
umbellula lindahli	sea pen	sea pen	yes	high	existing visually distinct group retained	Umbellula lindahli
umbellula sp. 1	sea pen	sea pen	yes	high	existing visually distinct group retained	Umbellula sp. 1
umbellula sp. 2	sea pen	sea pen	yes	high	existing visually distinct group retained	Umbellula sp. 2
hemiptripterus villosus	sea raven	fish	yes	high	taxonomy family: Hemitripteridae	hemiptripterus villosus
sea slug	sea slug	sea slug	yes	high	existing visually distinct group retained	sea slug;Sea Slug;SeaSlug
striped sea hare	sea slug	sea slug	yes	high	existing visually distinct group retained	striped sea hare
abalone	sea snail	sea snail	yes	high	existing visually distinct group retained	Abalone
akoya platinum	sea snail	sea snail	yes	high	existing visually distinct group retained	Akoya platinum
amphora	sea snail	sea snail	yes	high	existing visually distinct group retained	Amphora
bathybembix	sea snail	sea snail	yes	high	existing visually distinct group retained	Bathybembix
buccinidae	sea snail	sea snail	yes	high	existing visually distinct group retained	Buccinidae
buccinoidea	sea snail	sea snail	yes	high	existing visually distinct group retained	Buccinoidea
calliostoma	sea snail	sea snail	yes	high	existing visually distinct group retained	Calliostoma
clio pyramidata	sea snail	sea snail	yes	high	existing visually distinct group retained	Clio pyramidata
corolla	sea snail	sea snail	yes	high	existing visually distinct group retained	Corolla
deep sea carinaria	sea snail	sea snail	yes	high	existing visually distinct group retained	deep sea Carinaria gracefully drifts
gastropoda	sea snail	sea snail	yes	high	existing visually distinct group retained	Gastropoda
neptunea	sea snail	sea snail	yes	high	existing visually distinct group retained	Neptunea
neptunea buccinum complex	sea snail	sea snail	yes	high	existing visually distinct group retained	Neptunea-Buccinum Complex
notobranchaea grandis	sea snail	sea snail	yes	high	existing visually distinct group retained	Notobranchaea grandis
procymbulia	sea snail	sea snail	yes	high	existing visually distinct group retained	Procymbulia
queen conch	sea snail	sea snail	yes	high	existing visually distinct group retained	Queen Conch;QueenConch
sea snail	sea snail	sea snail	yes	high	existing visually distinct group retained	sea snail
spider conch	sea snail	sea snail	yes	high	existing visually distinct group retained	spider conch
triton's trumpet	sea snail	sea snail	yes	high	existing visually distinct group retained	Triton's Trumpet;TritonSTrumpet
australian blacksnake	sea snake	sea snake	yes	high	existing visually distinct group retained	australian blacksnake
banded sea krait	sea snake	sea snake	yes	high	existing visually distinct group retained	banded sea krait
banded sea krait slithers	sea snake	sea snake	yes	high	existing visually distinct group retained	banded sea krait slithers gracefully across
banded sea snake fighting	sea snake	sea snake	yes	high	existing visually distinct group retained	banded sea snake fighting
red sea reptile	sea snake	sea snake	yes	high	existing visually distinct group retained	RedSeaReptile
sea snake	sea snake	sea snake	yes	high	existing visually distinct group retained	sea snake
snake	sea snake	sea snake	yes	high	existing visually distinct group retained	Snake
colossendeidae	sea spider	sea spider	yes	high	existing visually distinct group retained	Colossendeidae
colossendeis	sea spider	sea spider	yes	high	existing visually distinct group retained	Colossendeis
pycnogonida	sea spider	sea spider	yes	high	existing visually distinct group retained	Pycnogonida
sea spider	sea spider	sea spider	yes	high	existing visually distinct group retained	sea spider
aporocidaris milleri	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Aporocidaris milleri
cystechinus loveni	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Cystechinus loveni
cystocrepis setigera	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Cystocrepis setigera
echinocrepis rostrata	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Echinocrepis rostrata
echinoidea	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Echinoidea
echinothuriidae	sea urchin	sea urchin	yes	high	existing visually distinct group retained	Echinothuriidae
